objective,retrieval_condition,window_size,mask_count,mask_position,landscape_size,beta,accuracy,lower_ci,upper_ci,effective_n,bigram_accuracy,mean_gap,mean_entropy,mean_energy,mean_top_score,cap_error_0_3,cap_error_0_5,cap_error_0_7,metastable_rate
masked_token,generalization,4,2,center,64,100.0,0.0,0.0,0.10151790621961015,34,0.0,0.15661249057773283,4.185629065567298e-10,-1.0,1.0,0.0,0.0,0.0,0.0
masked_token,memorization,4,2,edge,64,100.0,0.9411764705882353,0.8090606311053629,0.9837176869361575,34,0.0,0.38839004621567097,4.185629065567298e-10,-1.0,1.0,0.0,0.0,0.0,0.0
masked_token,generalization,4,2,edge,64,100.0,0.0,0.0,0.08762453925039232,40,0.0,0.2400849108118564,4.185629065567298e-10,-1.0,1.0,0.0,0.0,0.0,0.0
masked_token,memorization,4,2,end,64,100.0,0.9111111111111111,0.792661488316343,0.9648894518657969,45,0.0,0.39397217258810996,4.185629065567298e-10,-1.0,1.0,0.0,0.0,0.0,0.0
masked_token,generalization,4,2,end,64,100.0,0.0,0.0,0.09890426758938868,35,0.0,0.27944028936326504,4.185629065567298e-10,-1.0,1.0,0.0,0.0,0.0,0.0
next_token,memorization,4,,,256,3.0,0.0,0.0,0.08380161250916197,42,0.21428571428571427,0.00938797112376917,0.9413796010471526,-2.1303702479317073,0.962211134887877,0.0,0.0,0.0,0.0
next_token,generalization,4,,,256,3.0,0.0,0.0,0.07135003417431873,50,0.12,0.009386587515473365,0.941378481388092,-2.130370225906372,0.9622347342967987,0.0,0.0,0.0,0.0
masked_token,memorization,4,1,center,256,3.0,0.14893617021276595,0.07406626087497503,0.27685896571112767,47,0.23404255319148937,0.003988330668591438,0.9413771997106836,-2.130370241530398,0.9622587637698397,0.0,0.0,0.0,0.0
masked_token,generalization,4,1,center,256,3.0,0.08888888888888889,0.035110548134203154,0.207338511683657,45,0.15555555555555556,0.0039914446572462715,0.9413765655623542,-2.1303702460394964,0.962271535396576,0.0,0.0,0.0,0.0
masked_token,memorization,4,1,edge,256,3.0,0.0,6.381712396155606e-18,0.08029831778201396,44,0.18181818181818182,0.0013611057603901083,0.9413783428343859,-2.1303702267733486,0.9622379121455279,0.0,0.0,0.0,0.0
masked_token,generalization,4,1,edge,256,3.0,0.0,0.0,0.06879459041288215,52,0.21153846153846154,0.0013613992442305272,0.9413777601260406,-2.1303702547000003,0.9622473556261796,0.0,0.0,0.0,0.0
masked_token,memorization,4,1,end,256,3.0,0.0,0.0,0.08380161250916197,42,0.16666666666666666,0.009388013964607603,0.9413794690654391,-2.1303702422550748,0.9622135162353516,0.0,0.0,0.0,0.0
masked_token,generalization,4,1,end,256,3.0,0.0,0.0,0.07135003417431873,50,0.14,0.009386821538209916,0.9413782215118408,-2.1303702354431153,0.9622385025024414,0.0,0.0,0.0,0.0
masked_token,memorization,4,2,center,256,3.0,0.05263157894736842,0.0145539024485368,0.17285766881068843,38,0.0,0.003077691371895765,0.9413777103549555,-2.1303702530108,0.9622504099419242,0.0,0.0,0.0,0.0
masked_token,generalization,4,2,center,256,3.0,0.0,0.0,0.10151790621961015,34,0.0,0.003076996380353675,0.9413766685654136,-2.130370259284973,0.9622703790664673,0.0,0.0,0.0,0.0
masked_token,memorization,4,2,edge,256,3.0,0.0,0.0,0.10427343003561192,33,0.0,0.0017648401924154975,0.9413777589797974,-2.130370248447765,0.9622499798283433,0.0,0.0,0.0,0.0
masked_token,generalization,4,2,edge,256,3.0,0.0,0.0,0.08762453925039232,40,0.0,0.0017676781862974167,0.9413787320256233,-2.1303702294826508,0.9622311562299728,0.0,0.0,0.0,0.0
masked_token,memorization,4,2,end,256,3.0,0.0,0.0,0.11351709139047801,30,0.0,0.006685093976557255,0.9413781960805258,-2.1303702195485434,0.9622378210226695,0.0,0.0,0.0,0.0
masked_token,generalization,4,2,end,256,3.0,0.0,0.0,0.09890426758938868,35,0.0,0.006690202068005289,0.9413755604199001,-2.130370249067034,0.9622909801346915,0.0,0.0,0.0,0.0
next_token,memorization,4,,,256,10.0,0.9523809523809523,0.8420986468452026,0.9868427513607937,42,0.21428571428571427,0.4019719301057713,0.06670459342144784,-1.004607149532863,0.9998679714543479,0.0,0.0,0.0,0.0
next_token,generalization,4,,,256,10.0,0.02,0.0035391680889764613,0.10495686471836953,50,0.12,0.11338222488760948,0.27446161054074764,-1.1061918568611144,0.9993725371360779,0.0,0.0,0.0,0.0
masked_token,memorization,4,1,center,256,10.0,0.8085106382978723,0.674557199356223,0.8958418439468988,47,0.23404255319148937,0.3429374143164209,0.10804701505347769,-1.0314927101135254,0.9999268080325837,0.0,0.0,0.0,0.0
masked_token,generalization,4,1,center,256,10.0,0.022222222222222223,0.003933497522757507,0.11566946388718814,45,0.15555555555555556,0.018383565462297864,0.32706005366312135,-1.1466367483139037,0.9988677514923944,0.0,0.0,0.0,0.0
