codebook,objective,retrieval_condition,window_size,mask_count,mask_position,landscape_size,beta,accuracy,lower_ci,upper_ci,bigram_accuracy,mean_gap,mean_entropy,mean_energy,metastable_rate
learned,masked_token,memorization,8,1,end,64,10.0,1.0,0.9179874299767727,1.0,0.13953488372093023,0.14021610070106594,0.054490326448928476,-1.0028511119443317,0.0
learned,masked_token,memorization,8,1,end,64,30.0,1.0,0.9179874299767727,1.0,0.13953488372093023,0.1411131627337877,7.621615688439799e-07,-1.000000005544618,0.0
learned,masked_token,memorization,8,1,end,256,10.0,1.0,0.916198387490838,1.0,0.09523809523809523,0.1472705833259083,0.14851491383853413,-1.0102686541421073,0.0
learned,masked_token,memorization,8,1,end,256,30.0,1.0,0.916198387490838,1.0,0.09523809523809523,0.15087749915463583,1.3821164548928556e-06,-1.0000000198682149,0.0
learned,next_token,generalization,4,,,64,10.0,0.08,0.031549003255790686,0.18838502545063707,0.12,0.14503574527800084,0.20712950110435485,-1.0156149506568908,0.0
learned,next_token,generalization,4,,,64,30.0,0.02,0.0035391680889764613,0.10495686471836953,0.12,0.13243993835058063,0.00011636701703224617,-1.000001654624939,0.0
learned,next_token,generalization,4,,,256,10.0,0.06,0.02061459636463048,0.16217343370877002,0.12,0.027247767590451985,0.6678196156024933,-1.0726623106002808,0.92
learned,next_token,generalization,4,,,256,30.0,0.1,0.0434751239915711,0.21360490334788393,0.12,0.11157237020786852,0.0067911384329750035,-1.000973536968231,0.0
learned,next_token,generalization,8,,,64,10.0,0.0,6.381712396155606e-18,0.08029831778201396,0.2727272727272727,0.07087731565645133,0.06888408899645913,-1.0038069947199388,0.0
learned,next_token,generalization,8,,,64,30.0,0.0,6.381712396155606e-18,0.08029831778201396,0.2727272727272727,0.07939956849970092,1.1578429323190098e-06,-1.0000000108372082,0.0
learned,next_token,generalization,8,,,256,10.0,0.11363636363636363,0.04952707589567494,0.23979435148133582,0.2727272727272727,0.060707914711780504,0.38971820405938407,-0.986765751784498,0.36363636363636365
learned,next_token,generalization,8,,,256,30.0,0.022727272727272728,0.00402314838563701,0.11807979131537633,0.2727272727272727,0.09495833953472109,3.1115756901168754e-06,-1.0000000568953427,0.0
learned,next_token,memorization,4,,,64,10.0,0.9807692307692307,0.8987925373197556,0.9965972795909344,0.19230769230769232,0.191469222593766,0.12176420360517043,-1.0077159748627589,0.0
learned,next_token,memorization,4,,,64,30.0,0.9807692307692307,0.8987925373197556,0.9965972795909344,0.19230769230769232,0.1986842083816345,7.365236953182065e-05,-1.0000010889310103,0.0
learned,next_token,memorization,4,,,256,10.0,0.40476190476190477,0.27042647671209086,0.5550595447182258,0.21428571428571427,0.08850979569944598,0.4900127677690415,-1.059016588188353,0.6190476190476191
learned,next_token,memorization,4,,,256,30.0,0.9523809523809523,0.8420986468452026,0.9868427513607937,0.21428571428571427,0.19427395212863172,0.0004965617790270742,-1.0000114497684298,0.0
learned,next_token,memorization,8,,,64,10.0,1.0,0.9179874299767727,1.0,0.11627906976744186,0.14021609827529552,0.05449033008758412,-1.0028511091720227,0.0
learned,next_token,memorization,8,,,64,30.0,1.0,0.9179874299767727,1.0,0.11627906976744186,0.1411131627337877,7.621615688439799e-07,-1.000000005544618,0.0
learned,next_token,memorization,8,,,256,10.0,1.0,0.916198387490838,1.0,0.07142857142857142,0.14727050811052322,0.14851505096469605,-1.0102686484654744,0.0
learned,next_token,memorization,8,,,256,30.0,1.0,0.916198387490838,1.0,0.07142857142857142,0.15087749915463583,1.3821164548928556e-06,-1.0000000198682149,0.0
random,masked_token,generalization,4,1,center,64,10.0,0.0,0.0,0.07865426194064076,0.15555555555555556,0.16058080291582477,0.06313085324234433,-1.0038974814944797,0.0
random,masked_token,generalization,4,1,center,64,30.0,0.022222222222222223,0.003933497522757507,0.11566946388718814,0.15555555555555556,0.22553161904215813,1.0050507034163757e-05,-1.0000001192092896,0.0
random,masked_token,generalization,4,1,center,256,10.0,0.022222222222222223,0.003933497522757507,0.11566946388718814,0.15555555555555556,0.018383565462297864,0.32706005366312135,-1.1466367483139037,0.0
random,masked_token,generalization,4,1,center,256,30.0,0.022222222222222223,0.003933497522757507,0.11566946388718814,0.15555555555555556,0.1944282583064503,0.057195804931819784,-1.0105649365319147,0.0
random,masked_token,generalization,4,1,end,64,10.0,0.06,0.02061459636463048,0.16217343370877002,0.14,0.2283825708180666,0.060049076918512585,-1.00361398935318,0.0
random,masked_token,generalization,4,1,end,64,30.0,0.06,0.02061459636463048,0.16217343370877002,0.14,0.29474837724119424,6.888014206026804e-06,-1.0000000786781311,0.0
random,masked_token,generalization,4,1,end,256,10.0,0.0,0.0,0.07135003417431873,0.14,0.05375641472637653,0.3275687688589096,-1.145491976737976,0.0
random,masked_token,generalization,4,1,end,256,30.0,0.08,0.031549003255790686,0.18838502545063707,0.14,0.22303642235696317,0.028333041533408966,-1.0052178764343263,0.0
random,masked_token,generalization,8,1,center,64,10.0,0.07547169811320754,0.0297390735989018,0.17858722263484247,0.22641509433962265,0.2588712599761081,0.02803876010244185,-1.0013218645779591,0.0
