label,seed,recall_correct,raw_synergy,settled_synergy_at_mask
random,17,0,0.315418,-0.017538
random,17,0,0.309952,-0.017630
random,17,0,0.303725,0.029572
random,17,0,0.311110,-0.009211
random,17,1,0.313402,0.047156
random,17,0,0.307388,-0.012228
random,17,0,0.312171,0.002337
random,17,0,0.303875,0.031336
random,17,0,0.317895,0.016713
random,17,0,0.306819,0.006552
random,17,0,0.314553,-0.004310
random,17,0,0.321259,-0.001371
random,17,1,0.340579,0.046925
random,17,1,0.310678,0.046765
random,17,1,0.313590,0.046703
random,17,0,0.315841,-0.005339
random,17,0,0.295525,-0.015039
random,17,0,0.312411,-0.003584
random,17,0,0.315676,0.012302
random,17,1,0.317931,0.046681
random,17,0,0.309599,-0.013354
random,17,0,0.310066,-0.022790
random,17,0,0.297717,-0.001303
random,17,0,0.312224,0.014419
random,17,0,0.315900,-0.020253
random,17,0,0.306986,0.011456
random,17,0,0.317792,0.013511
random,17,0,0.311516,0.008350
random,17,0,0.313671,-0.009531
random,17,1,0.304666,0.046968
random,17,0,0.311811,-0.017740
random,17,0,0.305673,-0.001738
random,17,0,0.304816,-0.007251
random,17,1,0.311843,0.047148
random,17,0,0.306627,-0.014837
random,17,0,0.312054,-0.007232
random,17,0,0.308942,0.004382
random,17,0,0.306078,-0.032755
random,17,0,0.313386,-0.017582
random,17,0,0.313758,0.003295
random,17,0,0.317983,-0.032503
random,17,1,0.316277,0.046831
random,17,1,0.310185,0.046692
random,17,1,0.322250,0.047231
random,17,0,0.299662,0.003543
random,17,0,0.313674,-0.004469
random,17,0,0.314952,-0.006972
random,17,0,0.309365,-0.042727
random,17,0,0.307565,-0.017060
random,17,0,0.314761,-0.000859
random,17,0,0.304249,-0.022700
random,17,0,0.307924,-0.022694
random,17,0,0.300274,-0.022701
random,17,0,0.318569,-0.019726
random,17,0,0.304651,0.012049
random,17,0,0.308882,-0.001224
random,17,0,0.310595,0.003297
random,17,0,0.309994,-0.014926
random,17,0,0.320187,-0.000968
random,17,0,0.326190,-0.016790
random,17,0,0.316230,0.004922
random,17,0,0.313983,0.025930
random,17,0,0.311208,0.004372
random,17,0,0.323790,0.029650
random,17,0,0.313422,-0.015403
random,17,0,0.309656,0.016681
random,17,1,0.309898,0.046759
random,17,0,0.306280,0.016697
random,17,0,0.303423,-0.022081
random,17,0,0.315497,-0.005917
random,17,0,0.332769,-0.000939
random,17,0,0.312654,-0.016785
random,17,0,0.301229,0.015493
random,17,0,0.320548,0.014059
random,17,0,0.308419,0.016716
random,17,1,0.299127,0.046735
random,17,0,0.309368,-0.005357
random,17,0,0.310778,-0.025470
random,17,1,0.309073,0.046914
random,17,1,0.315334,0.046583
random,17,0,0.319099,-0.012755
random,17,0,0.333102,-0.005305
random,17,1,0.310150,0.046801
random,17,0,0.315406,-0.001797
random,17,0,0.324113,-0.025104
random,17,0,0.306769,0.006017
random,17,0,0.302029,-0.011920
random,17,0,0.313509,-0.011995
random,17,1,0.316133,0.046733
random,17,1,0.306160,0.047190
random,17,0,0.308400,0.001768
random,17,0,0.317513,-0.001263
random,17,0,0.303574,-0.000882
random,17,0,0.306675,0.029424
random,17,0,0.319432,-0.001497
random,17,0,0.311756,0.002227
random,17,0,0.308037,0.029382
random,17,0,0.307753,-0.005289
random,17,0,0.311946,-0.017593
random,17,0,0.312264,-0.017842
random,17,0,0.309969,-0.018434
random,17,0,0.316039,-0.031275
random,17,0,0.321746,-0.026184
random,17,0,0.314708,-0.032686
random,17,0,0.312744,0.011891
random,17,0,0.305704,-0.004745
random,17,1,0.310371,0.046681
random,17,0,0.304550,-0.021216
random,17,0,0.322384,-0.004848
random,17,0,0.307478,0.016701
random,17,0,0.304620,-0.007682
random,17,1,0.300222,0.046804
random,17,0,0.305707,-0.025745
random,17,0,0.342625,0.011984
random,17,0,0.311385,0.003491
random,17,0,0.311521,-0.009123
random,17,0,0.305693,-0.005333
random,17,1,0.314110,0.046564
random,17,0,0.306358,-0.019903
random,17,1,0.311943,0.046699
random,17,0,0.309546,0.013658
random,17,0,0.303842,-0.003083
random,17,0,0.314658,0.000104
random,17,1,0.307919,0.046639
random,17,0,0.305216,-0.018761
random,17,1,0.311662,0.046759
random,17,1,0.305181,0.046961
random,17,0,0.308324,-0.032513
random,17,0,0.313567,0.009023
random,17,0,0.310496,0.014407
random,17,1,0.311138,0.046647
random,17,0,0.313110,-0.016434
random,17,0,0.310787,-0.005364
random,17,0,0.315661,0.001362
random,17,1,0.322013,0.047137
random,17,0,0.318556,-0.023457
random,17,0,0.305223,-0.022443
random,17,0,0.321084,-0.016093
random,17,0,0.309562,0.010635
random,17,0,0.311181,0.016731
random,17,0,0.311751,0.025059
random,17,0,0.314102,-0.001441
