content_mode,temporal_mode,temporal_beta,top_label,recall_at_4,final_top_weight,final_entropy,iterations,converged,regime
wrong_ladder,wrong_pair,4,ladder,0.0,0.9573892560928249,0.0779190858686863,4,True,flipped
wrong_ladder,wrong_pair,8,ladder,0.0,0.9988590608751104,0.0034198137823416505,3,True,flipped
wrong_ladder,wrong_pair,16,ladder,0.0,0.9999989593818892,5.386942796448787e-06,3,True,flipped
wrong_ladder,wrong_pair,32,ladder,0.0,0.9999999999984286,1.485273416693362e-11,2,True,flipped
wrong_ladder,wrong_pair,64,ladder,0.0,1.0,9.493236313407501e-23,2,True,flipped
wrong_ladder,wrong_pair,100,ladder,0.0,1.0,1.8839497800884588e-35,2,True,flipped
wrong_ladder,noise_only,0.5,ladder,0.0,0.40480612194655025,0.5001213141937981,6,True,flipped
wrong_ladder,noise_only,1,ladder,0.0,0.5243378840317021,0.4504012013371212,9,True,flipped
wrong_ladder,noise_only,2,ladder,0.0,0.7588256589214704,0.29511359114822144,7,True,flipped
wrong_ladder,noise_only,4,ladder,0.0,0.9561136312456527,0.07977837938747448,6,True,flipped
wrong_ladder,noise_only,8,ladder,0.0,0.9987914296405916,0.0035965418448152113,5,True,flipped
wrong_ladder,noise_only,16,escalator,0.0,0.999895097489997,0.0003577055813179153,4,True,flipped
wrong_ladder,noise_only,32,escalator,0.0,0.9999999900987363,6.422122481860124e-08,3,True,flipped
wrong_ladder,noise_only,64,escalator,0.0,1.0,1.1067406747460732e-15,3,True,flipped
wrong_ladder,noise_only,100,escalator,0.0,1.0,1.549365125711434e-24,3,True,flipped
noise_only,exact_pair,0.5,coffee,0.0,0.4382059471205146,0.5066763381310373,5,True,flipped
noise_only,exact_pair,1,coffee,0.0,0.47764926233400806,0.4864465337234565,7,True,flipped
noise_only,exact_pair,2,slip,0.0,0.5201477403579867,0.4333930807100007,12,False,flipped
noise_only,exact_pair,4,slip,0.0,0.8743489811503976,0.18904927126353394,6,True,flipped
noise_only,exact_pair,8,slip,0.5,0.9904996928528146,0.02346966106533984,4,True,flipped
noise_only,exact_pair,16,slip,0.5,0.999804252663551,0.000690821337954291,4,True,flipped
noise_only,exact_pair,32,bandage,0.5,0.9999976989339543,1.1434889720687105e-05,3,True,flipped
noise_only,exact_pair,64,bandage,0.5,0.9999999999941207,5.272581753435672e-11,3,True,flipped
noise_only,exact_pair,100,bandage,0.5,1.0,5.93217035153921e-17,3,True,flipped
noise_only,single_neighbor,0.5,coffee,0.0,0.4468822650805694,0.5069234177826824,4,True,flipped
noise_only,single_neighbor,1,coffee,0.0,0.4984876194489544,0.48450472812934137,6,True,flipped
noise_only,single_neighbor,2,coffee,0.0,0.6365280449674474,0.4102618304317779,7,True,flipped
noise_only,single_neighbor,4,coffee,0.0,0.8486030190806203,0.22341261059225212,7,True,flipped
