experiment,window,beta,family_noise,ordered_recall,shuffle_recall,shuffle_delta,content_recall,temporal_recall,temporal_advantage,entropy,top_score,regime
content_distractor,2,32,0.6,,,,0.0,1.0,1.0,0.0014946961911004408,0.9999999769111061,robust_temporal
content_distractor,2,64,0.6,,,,0.0,1.0,1.0,3.7343678499830045e-07,1.0,robust_temporal
content_distractor,2,100,0.6,,,,0.0,1.0,1.0,2.82955185535139e-11,1.0,robust_temporal
content_distractor,2,200,0.6,,,,0.0,1.0,1.0,7.726694090185631e-23,1.0,robust_temporal
content_distractor,3,1,0.6,,,,0.4,0.2,-0.2,0.9793689213525677,0.8210475302789939,interference
content_distractor,3,2,0.6,,,,0.4,0.2,-0.2,0.8916674154703642,0.8644815223199098,interference
content_distractor,3,4,0.6,,,,0.4,0.2,-0.2,0.6730778483369811,0.8753609313734809,interference
content_distractor,3,8,0.6,,,,0.4,0.2,-0.2,0.5445787994919342,0.880160806771134,interference
content_distractor,3,16,0.6,,,,0.4,1.0,0.6,0.05342165931577589,0.9999131976628745,robust_temporal
content_distractor,3,32,0.6,,,,0.4,1.0,0.6,0.0005850794725673319,0.9999999970185888,robust_temporal
content_distractor,3,64,0.6,,,,0.4,1.0,0.6,4.84296101688243e-08,1.0,robust_temporal
content_distractor,3,100,0.6,,,,0.4,1.0,0.6,1.0194830407115018e-12,1.0,robust_temporal
content_distractor,3,200,0.6,,,,0.4,1.0,0.6,8.573781402633112e-26,1.0,robust_temporal
content_distractor,4,1,0.6,,,,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.9761732447595892,0.8498363622286155,blend
content_distractor,4,2,0.6,,,,0.16666666666666666,0.0,-0.16666666666666666,0.8847897673730296,0.8688903902349103,interference
content_distractor,4,4,0.6,,,,0.16666666666666666,0.0,-0.16666666666666666,0.6664954959712747,0.8749169613160047,interference
content_distractor,4,8,0.6,,,,0.16666666666666666,0.0,-0.16666666666666666,0.5440076357752643,0.880500122314003,interference
content_distractor,4,16,0.6,,,,0.16666666666666666,1.0,0.8333333333333334,0.07853592004661752,0.9997946478762784,robust_temporal
content_distractor,4,32,0.6,,,,0.16666666666666666,1.0,0.8333333333333334,0.001275590191131085,0.999999984868507,robust_temporal
content_distractor,4,64,0.6,,,,0.16666666666666666,1.0,0.8333333333333334,2.365771505373097e-07,1.0,robust_temporal
content_distractor,4,100,0.6,,,,0.16666666666666666,1.0,0.8333333333333334,1.181231484727431e-11,1.0,robust_temporal
content_distractor,4,200,0.6,,,,0.16666666666666666,1.0,0.8333333333333334,9.656920432447804e-24,1.0,robust_temporal
